"challenge","username","money","leaderboard_categories","leaderboard_date","community"
"1165","Kenji776","250.0","Salesforce.com,Google,Cloud Foundry,Heroku,AWS,","2011-08-24","cloudfoundry"
"1094","Kenji776","300.0","Salesforce.com,JavaScript,","2011-04-26",""
"1184","Kenji776","500.0","Salesforce.com,","2011-09-19",""
"1106","Kenji776","2500.0","JavaScript,","2011-05-19",""
"1163","Kenji776","2000.0","Heroku,Salesforce.com,","2011-08-18",""
"1142","Kenji776","500.0","Salesforce.com,Other,Twilio,Mobile,Heroku,Google,","2011-08-04",""
"1115","Kenji776","400.0","Salesforce.com,","2011-06-08",""
"1143","Kenji776","1000.0","Other,Salesforce.com,","2011-08-04",""
"1154","Kenji776","1000.0","Salesforce.com,","2011-08-04",""
"1157","Kenji776","2000.0","Salesforce.com,Heroku,Ruby,Cloud Foundry,","2011-08-08","cloudfoundry"
"1132","Kenji776","1200.0","Salesforce.com,","2011-07-06",""
"1445","khushbu16","25.0","","",""
"1495","KnowledgeLover","300.0","javascript","2012-05-30",""
"1505","KnowledgeLover","250.0","salesforce.com","2012-05-30",""
"1456","KnowledgeLover","150.0","java, salesforce.com, heroku","2012-05-02",""
"1413","KnowledgeLover","750.0","salesforce.com, twilio","2012-04-18",""
"1400","KnowledgeLover","250.0","salesforce.com","2012-03-21",""
"1093","knthornt","350.0","Salesforce.com,","2011-04-21",""
"1105","knthornt","500.0","Salesforce.com,","2011-05-20",""
"1064","knthornt","50.0","Salesforce.com,Google,AWS,Heroku,Node.JS,Mobile,","2011-03-15",""
"1099","knthornt","350.0","Salesforce.com,Google,","2011-05-04",""
"1320","kristinalim","25.0","","",""
"1205","kswiggum","1000.0","Salesforce.com,","2011-10-05",""
"1087","kswiggum","250.0","Other,Salesforce.com,JavaScript,","2011-04-04",""
"1084","kswiggum","500.0","Salesforce.com,Google,","2011-04-11",""
"1080","kylemroche","2000.0","Salesforce.com,Mobile,","2011-04-14",""
"1116","kzer95","1500.0","Google,Java,","2011-06-27",""
"1114","kzer95","100.0","Heroku,AWS,Ruby,","2011-06-03",""
"1163","kzer95","500.0","Heroku,Salesforce.com,","2011-08-18",""
"1202","kzer95","500.0","Mobile,","2011-10-20",""
"1416","kzer95","1000.0","html5, mobile","2012-03-27",""
"1203","kzer95","300.0","Google,","2011-10-20",""
"1231","kzer95","1000.0","Google,","2011-12-08",""
"1157","kzer95","500.0","Salesforce.com,Heroku,Ruby,Cloud Foundry,","2011-08-08","cloudfoundry"
"1341","kzer95","500.0","other","2012-01-30",""
"1379","kzer95","5000.0","mobile, box","2012-03-09",""
"1225","kzer95","3000.0","Google,","2011-11-21",""
"1088","laytro","50.0","Salesforce.com,Google,AWS,Heroku,Node.JS,Mobile,Twilio,","2011-06-09",""
"1232","lazybaer","100.0","Salesforce.com,","2011-11-16",""
"1232","lazybaer","100.0","Salesforce.com,","2011-11-16",""
"1364","lizconlan","100.0","heroku, google, ruby, cloud foundry, salesforce.com","2012-02-21","cloudfoundry"
"1356","logontokartik","750.0","salesforce.com","2012-02-02",""
"1526","logontokartik","750.0","salesforce.com","2012-06-05",""
"1352","logontokartik","50.0","javascript, salesforce.com","2012-01-19",""
"1380","logontokartik","150.0","salesforce.com","2012-03-05",""
"1401","logontokartik","2500.0","salesforce.com","2012-03-12",""
"1374","logontokartik","250.0","salesforce.com","2012-03-01",""
"1361","logontokartik","100.0","salesforce.com","2012-02-06",""
"1465","logontokartik","350.0","salesforce.com","2012-05-09",""
"1412","logontokartik","100.0","salesforce.com","2012-04-03",""
"1432","logontokartik","750.0","salesforce.com","2012-04-10",""
"1443","logontokartik","100.0","salesforce.com","2012-04-13",""
"1429","logontokartik","600.0","salesforce.com","2012-04-16",""
"1441","logontokartik","1000.0","salesforce.com","2012-04-27",""
"1454","lokeshk9936","100.0","","",""
"1238","lukeemberton","150.0","Salesforce.com,","2011-11-28",""
"1405","Makif","800.0","box","2012-04-05",""
"1495","Makif","100.0","javascript","2012-05-30",""
